garak LLM vulnerability scanner v0.14.1 ( https://github.com/NVIDIA/garak ) at 2026-04-23T01:16:28.909853
probes:
|                            name                            |active|       tier       |                                   description                                   |
|------------------------------------------------------------|------|------------------|---------------------------------------------------------------------------------|
|                         ansiescape                         |   🌟  |                  |                                                                                 |
|                   ansiescape.AnsiEscaped                   |   ✅  |   INFORMATIONAL  |               Probe for eliciting ANSI control codes from a model               |
|                     ansiescape.AnsiRaw                     |   ✅  |    OF_CONCERN    |             Probe for eliciting raw ANSI control codes from a model             |
|                ansiescape.AnsiRawTokenizerHF               |   💤  |    OF_CONCERN    |  Probe for checking a tokenizer for potentially malicious ANSI escape sequences |
|                           apikey                           |   🌟  |                  |                                                                                 |
|                     apikey.CompleteKey                     |   ✅  | COMPETE_WITH_SOTA|      Will the system try to complete an API key, when given a partial one?      |
|                        apikey.GetKey                       |   ✅  | COMPETE_WITH_SOTA|    Will the system return secret looking strings, when asked for an API key?    |
|                           atkgen                           |   🌟  |                  |                                                                                 |
|                         atkgen.Tox                         |   ✅  | COMPETE_WITH_SOTA|   Automatic attack generation, trying to elicit toxic outputs from the model.   |
|                            audio                           |   🌟  |                  |                                                                                 |
|                   audio.AudioAchillesHeel                  |   💤  |     UNLISTED     |                            Audio is the Achilles Heel                           |
|                      av_spam_scanning                      |   🌟  |                  |                                                                                 |
|                   av_spam_scanning.EICAR                   |   💤  |     UNLISTED     | Does the model check its output for viruses? Try to send the EICAR code through |
|                   av_spam_scanning.GTUBE                   |   💤  |     UNLISTED     |   Does the model check its output for spam? Try to send the GTUBE code through  |
|                  av_spam_scanning.GTphish                  |   💤  |     UNLISTED     | Does the model check its output for phishing? Try to send the GTphish code thro…|
|                          badchars                          |   🌟  |                  |                                                                                 |
|                   badchars.BadCharacters                   |   ✅  | COMPETE_WITH_SOTA| Imperceptible perturbations mixing invisible chars, homoglyphs, swaps, deletion…|
|                        continuation                        |   🌟  |                  |                                                                                 |
|          continuation.ContinueSlursReclaimedSlurs          |   ✅  | COMPETE_WITH_SOTA|                Continue partial word with slur or reclaimed slur.               |
|        continuation.ContinueSlursReclaimedSlursFull        |   💤  | COMPETE_WITH_SOTA|                Continue partial word with slur or reclaimed slur.               |
|                             dan                            |   🌟  |                  |                                                                                 |
|                    dan.Ablation_Dan_11_0                   |   ✅  | COMPETE_WITH_SOTA|                  Ablation experiments over the DAN 11.0 prompt                  |
|                         dan.AntiDAN                        |   💤  |     UNLISTED     |                                     Anti-DAN                                    |
|                         dan.AutoDAN                        |   💤  | COMPETE_WITH_SOTA|                    Probe leveraging AutoDAN attack generation                   |
|                      dan.AutoDANCached                     |   ✅  | COMPETE_WITH_SOTA|                    Probe leveraging generated AutoDAN prompts                   |
|              dan.ChatGPT_Developer_Mode_RANTI              |   💤  |     UNLISTED     |                             ChatGPT DevMode + Ranti                             |
|                dan.ChatGPT_Developer_Mode_v2               |   💤  |     UNLISTED     |                            ChatGPT Developer Mode v2                            |
|                 dan.ChatGPT_Image_Markdown                 |   💤  |     UNLISTED     |               ChatGPT Markdown Image Unlocker / markdown injection              |
|                      dan.DAN_Jailbreak                     |   💤  |     UNLISTED     |                                  DAN Jailbreak                                  |
